events,placarFull,placarHafTime,golsHalfTime,timesgol
Kiel v Köln,1-5,1 - 4,[84],84
Köln v Kiel,0-1,0 - 0,[59],59
Bayern v Augsburg,5-2,4 - 0,"[67, 72, 90]",67
Bremen v Monchengladbach,2-4,0 - 1,"[52, 58, 67, 80, 83]",52
Dortmund v Leverkusen,3-1,1 - 0,"[51, 84, 89]",51
Frankfurt v Freiburg,3-1,0 - 0,"[62, 77, 87, 92]",62
Hoffenheim v Hertha,2-1,0 - 1,"[49, 91]",49
Köln v Schalke,1-0,0 - 0,[86],86
Stuttgart v Bielefeld,0-2,0 - 0,"[66, 72]",66
Union Berlin v RB Leipzig,2-1,0 - 0,"[55, 67, 92]",55
Wolfsburg v Mainz,2-3,0 - 1,"[47, 54, 66, 77]",47
RB Leipzig v Wolfsburg,2-2,0 - 2,"[51, 78]",51
Mainz v Dortmund,1-3,0 - 2,"[80, 91]",80
Augsburg v Bremen,2-0,0 - 0,"[57, 90]",57
Bielefeld v Hoffenheim,1-1,1 - 1,[],100
Freiburg v Bayern,2-2,1 - 1,"[53, 81]",53
Hertha v Köln,0-0,0 - 0,[],100
Leverkusen v Union Berlin,1-1,1 - 0,[72],72
Monchengladbach v Stuttgart,1-2,1 - 0,"[72, 77]",72
Schalke v Frankfurt,4-3,1 - 1,"[51, 52, 60, 64, 72]",51
Schalke v Hertha,1-2,1 - 1,[74],74
Hertha v Bielefeld,0-0,0 - 0,[],100
Frankfurt v Mainz,1-1,0 - 1,[86],86
Köln v Freiburg,1-4,0 - 2,"[49, 93, 96]",49
Bayern v Monchengladbach,6-0,4 - 0,"[66, 85]",66
Bremen v Leverkusen,0-0,0 - 0,[],100
Dortmund v RB Leipzig,3-2,1 - 0,"[51, 63, 77, 87]",51
Hoffenheim v Schalke,4-2,0 - 2,"[47, 52, 60, 64]",47
Wolfsburg v Union Berlin,3-0,1 - 0,"[63, 90]",63
Stuttgart v Augsburg,2-1,1 - 0,"[59, 74]",59
Hertha v Freiburg,3-0,2 - 0,[85],85
Mainz v Hertha,1-1,1 - 1,[],100
Monchengladbach v Bielefeld,5-0,3 - 0,"[69, 84]",69
RB Leipzig v Stuttgart,2-0,0 - 0,"[46, 67]",46
Leverkusen v Frankfurt,3-1,0 - 0,"[70, 80, 90, 91]",70
Freiburg v Hoffenheim,1-1,0 - 1,[81],81
Mainz v Bayern,2-1,2 - 0,[94],94
Union Berlin v Bremen,3-1,0 - 0,"[50, 53, 67, 82]",50
Wolfsburg v Dortmund,0-2,0 - 1,[68],68
Augsburg v Köln,2-3,0 - 3,"[54, 62]",54
Bremen v Mainz,0-1,0 - 1,[],100
Dortmund v Union Berlin,2-0,1 - 0,[88],88
Hoffenheim v Monchengladbach,3-2,0 - 2,"[48, 60, 65]",48
Stuttgart v Wolfsburg,1-3,0 - 2,"[65, 92]",65
Bayern v Leverkusen,2-0,2 - 0,[],100
Bielefeld v Schalke,1-0,0 - 0,[50],50
Frankfurt v Augsburg,2-0,1 - 0,[58],58
Köln v RB Leipzig,2-1,0 - 0,"[46, 59, 60]",46
Dortmund v Bremen,4-1,3 - 1,[87],87
Leverkusen v Köln,3-0,1 - 0,"[51, 76]",51
Augsburg v Bielefeld,0-0,0 - 0,[],100
Freiburg v Schalke,4-0,2 - 0,"[50, 74]",50
Monchengladbach v Frankfurt,4-0,1 - 0,"[60, 67, 95]",60
Union Berlin v Stuttgart,2-1,2 - 0,[49],49
Wolfsburg v Bayern,2-3,1 - 3,[54],54
RB Leipzig v Hoffenheim,0-0,0 - 0,[],100
Hoffenheim v Leverkusen,0-0,0 - 0,[],100
Köln v Mainz,2-3,1 - 1,"[61, 65, 91]",61
Schalke v Augsburg,1-0,1 - 0,[],100
Stuttgart v Dortmund,2-3,1 - 0,"[47, 52, 78, 80]",47
Bayern v Union Berlin,1-1,0 - 0,"[68, 86]",68
Bremen v RB Leipzig,1-4,0 - 3,"[61, 63]",61
Frankfurt v Wolfsburg,4-3,2 - 1,"[46, 54, 61, 85]",46
Hertha v Monchengladbach,2-2,1 - 2,[49],49
Bielefeld v Freiburg,1-0,0 - 0,[68],68
Union Berlin v Hertha,1-1,1 - 1,[],100
Stuttgart v Bremen,1-0,0 - 0,[81],81
Monchengladbach v Freiburg,2-1,0 - 1,"[53, 60]",53
RB Leipzig v Bayern,0-1,0 - 1,[],100
Augsburg v Hoffenheim,2-1,2 - 0,[86],86
Dortmund v Frankfurt,1-2,1 - 1,[87],87
Leverkusen v Schalke,2-1,1 - 0,"[72, 81]",72
Mainz v Bielefeld,1-1,0 - 0,"[56, 76]",56
Wolfsburg v Köln,1-0,0 - 0,[69],69
Freiburg v Augsburg,2-0,0 - 0,"[51, 79]",51
Hertha v Leverkusen,3-0,3 - 0,[],100
Hoffenheim v Mainz,1-2,1 - 2,[],100
Schalke v Monchengladbach,0-3,0 - 1,"[63, 72]",63
Bayern v Stuttgart,4-0,4 - 0,[],100
Bremen v Wolfsburg,1-2,1 - 2,[],100
Frankfurt v Union Berlin,5-2,4 - 2,[92],92
Köln v Dortmund,2-2,1 - 1,"[65, 90]",65
Bielefeld v RB Leipzig,0-1,0 - 0,[46],46
