mes,events,placarFull,placarHafTime,golsHalfTime,timesgol
05/2022,Liverpool v Real Madrid,0-1,0 - 0,[59],59
05/2022,Real Madrid v Manchester City,3-1,0 - 0,"[73, 90, 91, 95]",73
05/2022,Villarreal v Liverpool,2-3,2 - 0,"[62, 67, 74]",62
04/2022,Liverpool v Villarreal,2-0,0 - 0,"[53, 55]",53
04/2022,Manchester City v Real Madrid,4-3,2 - 1,"[53, 55, 74, 82]",53
04/2022,Atl. Madrid v Manchester City,0-0,0 - 0,[],100
04/2022,Liverpool v Benfica,3-3,1 - 1,"[55, 65, 73, 82]",55
04/2022,Bayern v Villarreal,1-1,0 - 0,"[52, 88]",52
04/2022,Real Madrid v Chelsea,2-3,0 - 1,"[51, 75, 80, 96]",51
04/2022,Chelsea v Real Madrid,1-3,1 - 2,[46],46
04/2022,Villarreal v Bayern,1-0,1 - 0,[],100
04/2022,Benfica v Liverpool,1-3,0 - 2,"[49, 87]",49
04/2022,Manchester City v Atl. Madrid,1-0,0 - 0,[70],70
03/2022,Juventus v Villarreal,0-3,0 - 0,"[78, 85, 92]",78
03/2022,Lille v Chelsea,1-2,1 - 1,[71],71
03/2022,Ajax v Benfica,0-1,0 - 0,[77],77
03/2022,Manchester Utd v Atl. Madrid,0-1,0 - 1,[],100
03/2022,Manchester City v Sporting CP,0-0,0 - 0,[],100
03/2022,Real Madrid v PSG,3-1,0 - 1,"[61, 76, 78]",61
03/2022,Bayern v Red Bull Salzburg,7-1,4 - 0,"[54, 70, 83, 85]",54
03/2022,Liverpool v Inter,0-1,0 - 0,[62],62
02/2022,Atl. Madrid v Manchester Utd,1-1,1 - 0,[80],80
02/2022,Benfica v Ajax,2-2,1 - 2,[72],72
02/2022,Chelsea v Lille,2-0,1 - 0,[63],63
02/2022,Villarreal v Juventus,1-1,0 - 1,[66],66
02/2022,Inter v Liverpool,0-2,0 - 0,"[75, 83]",75
02/2022,Red Bull Salzburg v Bayern,1-1,1 - 0,[90],90
02/2022,PSG v Real Madrid,1-0,0 - 0,[94],94
02/2022,Sporting CP v Manchester City,0-5,0 - 4,[58],58
12/2021,Atalanta v Villarreal,2-3,0 - 2,"[51, 71, 80]",51
12/2021,Bayern v Barcelona,3-0,2 - 0,[62],62
12/2021,Benfica v Dyn. Kiev,2-0,2 - 0,[],100
12/2021,Manchester Utd v Young Boys,1-1,1 - 1,[],100
12/2021,Red Bull Salzburg v Sevilla,1-0,0 - 0,[50],50
12/2021,Wolfsburg v Lille,1-3,0 - 1,"[72, 78, 89]",72
12/2021,Juventus v Malmö FF,1-0,1 - 0,[],100
12/2021,Zenit v Chelsea,3-3,2 - 1,"[62, 85, 94]",62
12/2021,AC Milan v Liverpool,1-2,1 - 1,[55],55
12/2021,Ajax v Sporting CP,4-2,2 - 1,"[58, 62, 78]",58
12/2021,Dortmund v Besiktas,5-0,2 - 0,"[53, 68, 81]",53
12/2021,FC Porto v Atl. Madrid,1-3,0 - 0,"[56, 90, 92, 96]",56
12/2021,Real Madrid v Inter,2-0,1 - 0,[79],79
12/2021,Shakhtar v S. Tiraspol,1-1,1 - 0,[93],93
12/2021,PSG v Club Brugge,4-1,3 - 0,"[68, 76]",68
12/2021,RB Leipzig v Manchester City,2-1,1 - 0,"[71, 76]",71
11/2021,Atl. Madrid v AC Milan,0-1,0 - 0,[87],87
11/2021,Club Brugge v RB Leipzig,0-5,0 - 4,[93],93
11/2021,Liverpool v FC Porto,2-0,0 - 0,"[52, 70]",52
11/2021,Manchester City v PSG,2-1,0 - 0,"[50, 63, 76]",50
11/2021,S. Tiraspol v Real Madrid,0-3,0 - 2,[55],55
11/2021,Sporting CP v Dortmund,3-1,2 - 0,"[81, 93]",81
11/2021,Besiktas v Ajax,1-2,1 - 0,"[54, 69]",54
11/2021,Inter v Shakhtar,2-0,0 - 0,"[61, 67]",61
11/2021,Barcelona v Benfica,0-0,0 - 0,[],100
11/2021,Chelsea v Juventus,4-0,1 - 0,"[55, 58, 95]",55
11/2021,Lille v Red Bull Salzburg,1-0,1 - 0,[],100
11/2021,Malmö FF v Zenit,1-1,1 - 0,[92],92
11/2021,Sevilla v Wolfsburg,2-0,1 - 0,[97],97
11/2021,Young Boys v Atalanta,3-3,1 - 1,"[51, 80, 84, 88]",51
11/2021,Dyn. Kiev v Bayern,1-2,0 - 2,[70],70
11/2021,Villarreal v Manchester Utd,0-2,0 - 0,"[78, 90]",78
11/2021,Dortmund v Ajax,1-3,1 - 0,"[72, 83, 93]",72
11/2021,Liverpool v Atl. Madrid,2-0,2 - 0,[],100
11/2021,Manchester City v Club Brugge,4-1,1 - 1,"[54, 72, 92]",54
11/2021,RB Leipzig v PSG,2-2,1 - 2,[92],92
11/2021,S. Tiraspol v Inter,1-3,0 - 0,"[54, 66, 82, 92]",54
11/2021,Sporting CP v Besiktas,4-0,3 - 0,[56],56
11/2021,AC Milan v FC Porto,1-1,0 - 1,[61],61
11/2021,Real Madrid v Shakhtar,2-1,1 - 1,[61],61
11/2021,Atalanta v Manchester Utd,2-2,1 - 1,"[56, 91]",56
11/2021,Bayern v Benfica,5-2,2 - 1,"[49, 61, 74, 84]",49
11/2021,Dyn. Kiev v Barcelona,0-1,0 - 0,[70],70
11/2021,Juventus v Zenit,4-2,1 - 1,"[58, 73, 82, 92]",58
11/2021,Sevilla v Lille,1-2,1 - 1,[51],51
11/2021,Villarreal v Young Boys,2-0,1 - 0,[89],89
11/2021,Malmö FF v Chelsea,0-1,0 - 0,[56],56
11/2021,Wolfsburg v Red Bull Salzburg,2-1,1 - 1,[60],60
10/2021,Benfica v Bayern,0-4,0 - 0,"[70, 80, 82, 84]",70
10/2021,Chelsea v Malmö FF,4-0,2 - 0,"[48, 57]",48
10/2021,Lille v Sevilla,0-0,0 - 0,[],100
10/2021,Manchester Utd v Atalanta,3-2,0 - 2,"[53, 75, 81]",53
10/2021,Young Boys v Villarreal,1-4,0 - 2,"[77, 88, 92]",77
10/2021,Zenit v Juventus,0-1,0 - 0,[86],86
10/2021,Barcelona v Dyn. Kiev,1-0,1 - 0,[],100
10/2021,Red Bull Salzburg v Wolfsburg,3-1,1 - 1,"[65, 77]",65
10/2021,Ajax v Dortmund,4-0,2 - 0,"[57, 72]",57
10/2021,Atl. Madrid v Liverpool,2-3,2 - 2,[78],78
10/2021,FC Porto v AC Milan,1-0,0 - 0,[65],65
10/2021,Inter v S. Tiraspol,3-1,1 - 0,"[52, 58, 67]",52
10/2021,PSG v RB Leipzig,3-2,1 - 1,"[57, 67, 74]",57
10/2021,Shakhtar v Real Madrid,0-5,0 - 1,"[51, 56, 65, 91]",51
10/2021,Besiktas v Sporting CP,1-4,1 - 3,[89],89
