data,events,placarFull,placarHafTime,golsHalfTime,timesgol
29.05.2022,St. Etienne v Auxerre,1-2,0 - 0,"[51, 76]",51
26.05.2022,Auxerre v St. Etienne,1-1,0 - 1,[86],86
21.05.2022,Angers v Montpellier,2-0,1 - 0,[67],67
21.05.2022,Brest v Bordeaux,2-4,2 - 2,"[73, 75]",73
21.05.2022,Clermont v Lyon,1-2,0 - 1,"[49, 59]",49
21.05.2022,Lens v Monaco,2-2,1 - 1,"[62, 95]",62
21.05.2022,Lille v Rennes,2-2,1 - 1,"[88, 92]",88
21.05.2022,Lorient v Troyes,1-1,0 - 1,[74],74
21.05.2022,Marseille v Strasbourg,4-0,1 - 0,"[73, 89, 92]",73
21.05.2022,Nantes v St. Etienne,1-1,1 - 0,[79],79
21.05.2022,PSG v Metz,5-0,3 - 0,"[50, 67]",50
21.05.2022,Reims v Nice,2-3,2 - 0,"[75, 77, 82]",75
20.05.2022,Auxerre v Sochaux,1-0,0 - 0,[],100
17.05.2022,Paris FC v Sochaux,1-2,1 - 1,[92],92
14.05.2022,Bordeaux v Lorient,0-0,0 - 0,[],100
14.05.2022,Lyon v Nantes,3-2,1 - 0,"[78, 81, 85, 92]",78
14.05.2022,Metz v Angers,1-0,0 - 0,[50],50
14.05.2022,Monaco v Brest,4-2,1 - 2,"[51, 54, 70]",51
14.05.2022,Montpellier v PSG,0-4,0 - 3,[60],60
14.05.2022,Nice v Lille,1-3,1 - 0,"[52, 61, 94]",52
14.05.2022,Rennes v Marseille,2-0,2 - 0,[],100
14.05.2022,St. Etienne v Reims,1-2,1 - 1,[61],61
14.05.2022,Strasbourg v Clermont,1-0,1 - 0,[],100
14.05.2022,Troyes v Lens,1-3,1 - 2,[71],71
11.05.2022,Nantes v Rennes,2-1,1 - 1,[71],71
11.05.2022,Nice v St. Etienne,4-2,0 - 2,"[52, 60, 62, 80]",52
08.05.2022,PSG v Troyes,2-2,2 - 1,[49],49
08.05.2022,Lorient v Marseille,0-3,0 - 1,"[48, 67]",48
08.05.2022,Angers v Bordeaux,4-1,2 - 0,"[60, 62, 90]",60
08.05.2022,Clermont v Montpellier,2-1,1 - 1,[69],69
08.05.2022,Reims v Lens,1-2,1 - 0,"[55, 91]",55
08.05.2022,Metz v Lyon,3-2,2 - 1,"[84, 90]",84
