data,events,placarFull,placarHafTime,golsHalfTime,timesgol
22.05.2022,Salernitana v Udinese,0-4,0 - 3,[57],57
22.05.2022,Venezia v Cagliari,0-0,0 - 0,[],100
22.05.2022,Inter v Sampdoria,3-0,0 - 0,"[49, 55, 57]",49
22.05.2022,Sassuolo v AC Milan,0-3,0 - 3,[],100
22.05.2022,Spezia v Napoli,0-3,0 - 3,[],100
21.05.2022,Atalanta v Empoli,0-1,0 - 0,[79],79
21.05.2022,Fiorentina v Juventus,2-0,1 - 0,[92],92
21.05.2022,Lazio v Verona,3-3,2 - 2,"[62, 76]",62
21.05.2022,Genoa v Bologna,0-1,0 - 0,[66],66
20.05.2022,Torino v AS Roma,0-3,0 - 2,[78],78
16.05.2022,Juventus v Lazio,2-2,2 - 0,"[51, 96]",51
16.05.2022,Sampdoria v Fiorentina,4-1,2 - 0,"[71, 84, 89]",71
15.05.2022,Cagliari v Inter,1-3,0 - 1,"[51, 54, 84]",51
15.05.2022,AC Milan v Atalanta,2-0,0 - 0,"[56, 75]",56
15.05.2022,Napoli v Genoa,3-0,1 - 0,"[65, 81]",65
15.05.2022,Bologna v Sassuolo,1-3,0 - 1,"[75, 80, 92]",75
14.05.2022,AS Roma v Venezia,1-1,0 - 1,[76],76
14.05.2022,Udinese v Spezia,2-3,1 - 2,"[47, 94]",47
14.05.2022,Verona v Torino,0-1,0 - 1,[],100
14.05.2022,Empoli v Salernitana,1-1,1 - 0,[76],76
09.05.2022,Fiorentina v AS Roma,2-0,2 - 0,[],100
08.05.2022,Verona v AC Milan,1-3,1 - 1,"[50, 86]",50
08.05.2022,Salernitana v Cagliari,1-1,0 - 0,"[68, 98]",68
08.05.2022,Venezia v Bologna,4-3,2 - 1,"[55, 68, 78, 92]",55
08.05.2022,Spezia v Atalanta,1-3,1 - 1,"[73, 87]",73
07.05.2022,Lazio v Sampdoria,2-0,1 - 0,[59],59
07.05.2022,Sassuolo v Udinese,1-1,1 - 0,[77],77
07.05.2022,Torino v Napoli,0-1,0 - 0,[73],73
06.05.2022,Genoa v Juventus,2-1,0 - 0,"[48, 87, 95]",48
06.05.2022,Inter v Empoli,4-2,2 - 2,"[64, 94]",64
05.05.2022,Salernitana v Venezia,2-1,1 - 0,"[58, 67]",58
02.05.2022,Atalanta v Salernitana,1-1,0 - 1,[88],88
01.05.2022,AS Roma v Bologna,0-0,0 - 0,[],100
01.05.2022,Udinese v Inter,1-2,0 - 2,[72],72
01.05.2022,AC Milan v Fiorentina,1-0,0 - 0,[82],82
01.05.2022,Empoli v Torino,1-3,0 - 0,"[56, 78, 87, 96]",56
01.05.2022,Juventus v Venezia,2-1,1 - 0,"[71, 76]",71
30.04.2022,Spezia v Lazio,3-4,2 - 1,"[54, 56, 68, 90]",54
30.04.2022,Sampdoria v Genoa,1-0,1 - 0,[],100
30.04.2022,Cagliari v Verona,1-2,0 - 2,[57],57
30.04.2022,Napoli v Sassuolo,6-1,4 - 0,"[54, 80, 87]",54
27.04.2022,Atalanta v Torino,4-4,2 - 2,"[63, 67, 78, 84]",63
27.04.2022,Bologna v Inter,2-1,1 - 1,[81],81
27.04.2022,Fiorentina v Udinese,0-4,0 - 2,"[91, 95]",91
25.04.2022,Sassuolo v Juventus,1-2,1 - 1,[88],88
24.04.2022,Lazio v AC Milan,1-2,1 - 0,"[50, 92]",50
24.04.2022,Genoa v Cagliari,1-0,0 - 0,[89],89
24.04.2022,Bologna v Udinese,2-2,1 - 1,"[46, 59]",46
24.04.2022,Empoli v Napoli,3-2,0 - 1,"[53, 80, 83, 88]",53
24.04.2022,Salernitana v Fiorentina,2-1,1 - 0,"[64, 79]",64
23.04.2022,Verona v Sampdoria,1-1,0 - 1,[78],78
23.04.2022,Inter v AS Roma,3-1,2 - 0,"[52, 85]",52
23.04.2022,Torino v Spezia,2-1,1 - 0,"[69, 97]",69
23.04.2022,Venezia v Atalanta,1-3,0 - 1,"[47, 63, 80]",47
20.04.2022,Udinese v Salernitana,0-1,0 - 0,[93],93
18.04.2022,Atalanta v Verona,1-2,0 - 1,"[55, 82]",55
18.04.2022,Napoli v AS Roma,1-1,1 - 0,[91],91
16.04.2022,Lazio v Torino,1-1,0 - 0,"[56, 92]",56
16.04.2022,Juventus v Bologna,1-1,0 - 0,"[52, 95]",52
16.04.2022,Fiorentina v Venezia,1-0,1 - 0,[],100
16.04.2022,Sampdoria v Salernitana,1-2,1 - 2,[],100
16.04.2022,Udinese v Empoli,4-1,1 - 0,"[52, 70, 79, 87]",52
16.04.2022,Cagliari v Sassuolo,1-0,1 - 0,[],100
15.04.2022,AC Milan v Genoa,2-0,1 - 0,[87],87
15.04.2022,Spezia v Inter,1-3,0 - 1,"[73, 88, 93]",73
11.04.2022,Bologna v Sampdoria,2-0,0 - 0,"[61, 76]",61
10.04.2022,Torino v AC Milan,0-0,0 - 0,[],100
10.04.2022,AS Roma v Salernitana,2-1,0 - 1,"[82, 85]",82
10.04.2022,Napoli v Fiorentina,2-3,0 - 1,"[58, 66, 72, 84]",58
10.04.2022,Sassuolo v Atalanta,2-1,1 - 0,"[61, 93]",61
10.04.2022,Venezia v Udinese,1-2,0 - 1,"[86, 94]",86
10.04.2022,Genoa v Lazio,1-4,0 - 2,"[63, 68, 76]",63
09.04.2022,Cagliari v Juventus,1-2,1 - 1,[75],75
09.04.2022,Inter v Verona,2-0,2 - 0,[],100
09.04.2022,Empoli v Spezia,0-0,0 - 0,[],100
04.04.2022,AC Milan v Bologna,0-0,0 - 0,[],100
04.04.2022,Verona v Genoa,1-0,1 - 0,[],100
03.04.2022,Juventus v Inter,0-1,0 - 1,[],100
03.04.2022,Sampdoria v AS Roma,0-1,0 - 1,[],100
03.04.2022,Atalanta v Napoli,1-3,0 - 2,"[58, 81]",58
03.04.2022,Udinese v Cagliari,5-1,2 - 1,"[49, 59, 73]",49
03.04.2022,Fiorentina v Empoli,1-0,0 - 0,[58],58
02.04.2022,Salernitana v Torino,0-1,0 - 1,[],100
02.04.2022,Lazio v Sassuolo,2-1,1 - 0,"[51, 94]",51
02.04.2022,Spezia v Venezia,1-0,0 - 0,[94],94
20.03.2022,Bologna v Atalanta,0-1,0 - 0,[82],82
20.03.2022,AS Roma v Lazio,3-0,3 - 0,[],100
20.03.2022,Empoli v Verona,1-1,1 - 0,[72],72
20.03.2022,Juventus v Salernitana,2-0,2 - 0,[],100
20.03.2022,Venezia v Sampdoria,0-2,0 - 2,[],100
19.03.2022,Cagliari v AC Milan,0-1,0 - 0,[59],59
19.03.2022,Inter v Fiorentina,1-1,0 - 0,"[50, 55]",50
19.03.2022,Napoli v Udinese,2-1,0 - 1,"[52, 63]",52
18.03.2022,Genoa v Torino,1-0,1 - 0,[],100
18.03.2022,Sassuolo v Spezia,4-1,1 - 1,"[48, 78, 81]",48
