events,placarFull,placarHafTime,golsHalfTime,timesgol
Arsenal v Brighton,2-0,0 - 0,"[49, 60]",49
Aston Villa v Chelsea,2-1,1 - 0,"[52, 70]",52
Fulham v Newcastle,0-2,0 - 1,[88],88
Leeds v West Bromwich,3-1,2 - 0,"[79, 90]",79
Leicester v Tottenham,2-4,1 - 1,"[52, 76, 87, 96]",52
Liverpool v Crystal Palace,2-0,1 - 0,[74],74
Manchester City v Everton,5-0,2 - 0,"[53, 71, 76]",53
Sheffield Utd v Burnley,1-0,1 - 0,[],100
West Ham v Southampton,3-0,2 - 0,[86],86
Wolverhampton v Manchester Utd,1-2,1 - 2,[],100
Burnley v Liverpool,0-3,0 - 1,"[52, 88]",52
West Bromwich v West Ham,1-3,1 - 1,"[82, 88]",82
Crystal Palace v Arsenal,1-3,0 - 1,"[62, 91, 95]",62
Everton v Wolverhampton,1-0,0 - 0,[48],48
Newcastle v Sheffield Utd,1-0,1 - 0,[],100
Tottenham v Aston Villa,1-2,1 - 2,[],100
Chelsea v Leicester,2-1,0 - 0,"[47, 66, 76]",47
Brighton v Manchester City,3-2,0 - 1,"[48, 50, 72, 76]",48
Manchester Utd v Fulham,1-1,1 - 0,[76],76
Southampton v Leeds,0-2,0 - 0,"[73, 95]",73
Everton v Sheffield Utd,0-1,0 - 1,[],100
West Bromwich v Liverpool,1-2,1 - 1,[95],95
Tottenham v Wolverhampton,2-0,1 - 0,[62],62
Crystal Palace v Aston Villa,3-2,1 - 2,"[75, 84]",75
Brighton v West Ham,1-1,0 - 0,"[84, 87]",84
Southampton v Fulham,3-1,1 - 0,"[60, 75, 82]",60
Burnley v Leeds,0-4,0 - 1,"[59, 77, 79]",59
Newcastle v Manchester City,3-4,2 - 2,"[62, 64, 66]",62
Manchester Utd v Liverpool,2-4,1 - 2,"[47, 68, 90]",47
Aston Villa v Everton,0-0,0 - 0,[],100
Chelsea v Arsenal,0-1,0 - 1,[],100
Southampton v Crystal Palace,3-1,1 - 1,"[48, 75]",48
Manchester Utd v Leicester,1-2,1 - 1,[66],66
Fulham v Burnley,0-2,0 - 2,[],100
Arsenal v West Bromwich,3-1,2 - 0,"[67, 90]",67
West Ham v Everton,0-1,0 - 1,[],100
